title,imdbid,genres
The Strange Woman,38990,Romance
The Strange Woman,38990,Thriller
Dressed to Kill,38494,Crime
The Stranger,38991,Crime
The Stranger,38991,Drama
The Stranger,38991,Mystery
The Stranger,38991,Thriller
Black Narcissus,39192,Drama
The Shocking Miss Pilgrim,39819,Comedy
The Shocking Miss Pilgrim,39819,Music
The Shocking Miss Pilgrim,39819,Romance
The Egg and I,39349,Comedy
The Egg and I,39349,Romance
The Ghost and Mrs. Muir,39420,Fantasy
The Ghost and Mrs. Muir,39420,Romance
The Ghost and Mrs. Muir,39420,Mystery
Body and Soul,39204,Drama
Dishonored Lady,39324,Crime
Dishonored Lady,39324,Drama
Miracle on 34th Street,39628,Comedy
Miracle on 34th Street,39628,Drama
Miracle on 34th Street,39628,Family
The Red Shoes,40725,Drama
The Red Shoes,40725,Romance
Enchantment,40321,Drama
Enchantment,40321,Romance
Easter Parade,40308,Music
Easter Parade,40308,Romance
The Snake Pit,40806,Drama
The Snake Pit,40806,Mystery
Mr. Blandings Builds His Dream House,40613,Comedy
Mr. Blandings Builds His Dream House,40613,Romance
I Remember Mama,40458,Family
I Remember Mama,40458,Drama
Joan of Arc,40491,War
Joan of Arc,40491,Drama
Joan of Arc,40491,History
The Barkleys of Broadway,41158,Comedy
The Barkleys of Broadway,41158,Music
The Barkleys of Broadway,41158,Romance
On the Town,41716,Romance
On the Town,41716,Comedy
On the Town,41716,Music
Adam's Rib,41090,Comedy
Adam's Rib,41090,Drama
Adam's Rib,41090,Romance
Pinky,41746,Drama
Caught,40221,Drama
Caught,40221,Thriller
Little Women,41594,Romance
Little Women,41594,Drama
Little Women,41594,Family
Late Spring,41154,Drama
A Letter to Three Wives,41587,Drama
A Letter to Three Wives,41587,Romance
The Heiress,41452,Drama
The Heiress,41452,History
The Heiress,41452,Romance
Under Capricorn,42004,Crime
Under Capricorn,42004,Drama
Under Capricorn,42004,History
Under Capricorn,42004,Romance
Under Capricorn,42004,Thriller
Flame of My Love,42031,Drama
Flame of My Love,42031,Romance
Sunset Boulevard,43014,Drama
Cinderella,42332,Family
Cinderella,42332,Fantasy
Cinderella,42332,Animation
Cinderella,42332,Romance
Summer Stock,43012,Music
Summer Stock,43012,Romance
Born Yesterday,42276,Comedy
Born Yesterday,42276,Romance
Born Yesterday,42276,Drama
No Way Out,42792,Crime
No Way Out,42792,Drama
No Way Out,42792,Thriller
Stage Fright,42994,Thriller
Scandal,42958,Drama
Les Enfants terribles,42436,Drama
Three Secrets,43045,Drama
Caged,42296,Crime
Caged,42296,Drama
Alice in Wonderland,43274,Animation
Alice in Wonderland,43274,Family
Alice in Wonderland,43274,Fantasy
Alice in Wonderland,43274,Adventure
The Day the Earth Stood Still,43456,Drama
The Day the Earth Stood Still,43456,Science Fiction
A Streetcar Named Desire,44081,Drama
Show Boat,44030,Romance
Show Boat,44030,Drama
Show Boat,44030,Family
Show Boat,44030,Music
Early Summer,43313,Drama
Bellissima,43332,Comedy
Bellissima,43332,Drama
Quo Vadis,43949,Drama
Quo Vadis,43949,History
Quo Vadis,43949,Romance
Cause for Alarm!,43390,Drama
Cause for Alarm!,43390,Thriller
Cause for Alarm!,43390,Crime
Cause for Alarm!,43390,Mystery
Westward the Women,44205,Adventure
Westward the Women,44205,Drama
Westward the Women,44205,Western
The Idiot,43614,Drama
The Idiot,43614,Romance
Singin' in the Rain,45152,Comedy
Singin' in the Rain,45152,Music
Singin' in the Rain,45152,Romance
Lovely to Look At,44855,Comedy
Lovely to Look At,44855,Music
Lovely to Look At,44855,Romance
Clash by Night,44502,Drama
Clash by Night,44502,Romance
Forbidden Games,43686,Drama
Forbidden Games,43686,History
Europe '51,43511,Drama
The Story of Robin Hood and His Merrie Men,45197,Action
The Story of Robin Hood and His Merrie Men,45197,Adventure
Peter Pan,46183,Animation
Peter Pan,46183,Family
Peter Pan,46183,Adventure
Peter Pan,46183,Fantasy
Roman Holiday,46250,Romance
Roman Holiday,46250,Comedy
Roman Holiday,46250,Drama
Tokyo Story,46438,Drama
Calamity Jane,45591,Comedy
Calamity Jane,45591,Music
Calamity Jane,45591,Romance
Calamity Jane,45591,Western
Gentlemen Prefer Blondes,45810,Music
Gentlemen Prefer Blondes,45810,Comedy
Gentlemen Prefer Blondes,45810,Romance
The Cruel Sea,45659,Drama
The Cruel Sea,45659,History
The Cruel Sea,45659,War
Miss Sadie Thompson,46076,Drama
Miss Sadie Thompson,46076,Music
Miss Sadie Thompson,46076,Romance
Salome,46269,Drama
Salome,46269,Romance
From Here to Eternity,45793,War
From Here to Eternity,45793,Romance
From Here to Eternity,45793,Drama
The Big Heat,45555,Crime
The Big Heat,45555,Drama
The Big Heat,45555,Thriller
How to Marry a Millionaire,45891,Comedy
